Sl. No.,City,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents
,,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
58,JAMSHEDPUR,20,17,14,14,14,12,16,17,14,21,15,17,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,14,14,14,12,16,17,14,21,15,17,191
59,JODHPUR,63,64,51,67,60,54,65,62,41,54,53,52,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,64,51,67,60,54,65,62,41,54,53,52,686
60,KANNUR,70,62,42,40,60,51,73,39,62,49,52,57,657,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,6,2,3,1,2,0,3,1,5,30,73,64,44,46,62,54,74,41,62,52,53,62,687
61,KANPUR,157,88,81,63,74,57,51,88,123,83,56,132,1053,7,11,8,6,4,2,3,4,11,12,21,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,164,99,89,69,78,59,54,92,134,95,77,134,1144
62,KOCHI,196,221,195,154,201,173,174,135,118,181,205,185,2138,0,1,0,0,2,1,3,4,3,1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,196,222,195,154,203,174,177,139,121,182,206,185,2154
63,KOLKATA,127,189,107,100,186,109,233,183,196,222,214,202,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,189,107,100,186,109,233,183,196,222,214,202,2068
64,KOLLAM,157,167,143,170,171,172,139,144,159,177,168,173,1940,2,1,3,2,3,1,2,2,3,1,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,159,168,146,172,174,173,141,146,162,178,170,174,1963
65,KOTA,55,34,36,43,46,53,35,38,35,40,40,36,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,34,36,43,46,53,35,38,35,40,40,36,491
66,KOZHIKODE,136,130,123,125,138,129,125,130,125,145,145,146,1597,1,3,1,0,0,1,1,1,0,0,0,0,8,0,0,1,2,0,2,1,1,2,1,0,1,11,137,133,125,127,138,132,127,132,127,146,145,147,1616
67,LUCKNOW,31,104,85,68,93,51,75,77,66,70,77,82,879,1,0,0,0,1,0,0,0,0,0,0,1,3,9,7,3,4,5,0,6,6,7,3,3,3,56,41,111,88,72,99,51,81,83,73,73,80,86,938
68,LUDHIANA,42,49,37,44,30,39,44,52,33,59,52,45,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,49,37,44,30,39,44,52,33,59,52,45,526
69,MADURAI,66,74,93,75,61,83,70,87,71,57,66,63,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,74,93,75,61,83,70,87,71,57,66,63,866
70,MALAPPURAM,86,64,62,75,87,64,82,56,68,65,63,66,838,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,87,65,62,75,87,64,83,57,68,65,63,66,842
71,MEERUT,41,31,42,33,54,41,51,47,33,39,48,51,511,1,0,2,2,1,1,0,2,4,2,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,44,35,55,42,51,49,37,41,49,52,528
72,MUMBAI,54,51,58,57,46,49,43,46,39,36,69,40,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,54,51,58,57,46,51,43,46,39,36,69,40,590
73,NAGPUR,105,97,101,105,105,108,91,75,78,82,97,75,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,7,5,1,5,3,4,5,3,3,46,106,101,106,112,110,109,96,78,82,87,100,78,1165
74,NASIK,15,16,19,15,16,22,16,12,14,20,10,14,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,5,1,2,3,2,3,34,15,19,23,19,19,26,21,13,16,23,12,17,223
75,PATNA,43,42,51,37,49,47,47,42,39,37,35,55,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,51,37,49,47,47,42,39,37,35,55,524
76,PUNE,22,43,29,19,28,20,23,23,23,19,39,20,308,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,5,5,3,4,0,3,2,29,24,44,31,20,29,25,28,26,27,19,42,22,337
77,RAIPUR,138,112,95,123,99,78,104,104,107,94,110,93,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,3,3,7,5,5,2,3,2,42,140,115,97,128,102,81,111,109,112,96,113,95,1299
78,RAJKOT,54,46,55,54,56,47,33,50,46,48,45,41,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,0,3,5,3,19,54,46,57,55,59,48,33,51,46,51,50,44,594
