Sl. No.,City,Truck/Lorry,Truck/Lorry,Truck/Lorry,Bus,Bus,Bus,SUV/Station Wagon/etc,SUV/Station Wagon/etc,SUV/Station Wagon/etc,Car,Car,Car,Jeep,Jeep,Jeep,Tractor,Tractor,Tractor,Three Wheeler/Auto Rickshaw,Three Wheeler/Auto Rickshaw,Three Wheeler/Auto Rickshaw,Two Wheeler,Two Wheeler,Two Wheeler,Other Motor Vehicles,Other Motor Vehicles,Other Motor Vehicles,Bicycle,Bicycle,Bicycle,Hand Drawn Vehicle/Cycle Rickshaw,Hand Drawn Vehicle/Cycle Rickshaw,Hand Drawn Vehicle/Cycle Rickshaw,Animal Drawn Vehicle,Animal Drawn Vehicle,Animal Drawn Vehicle,Pedestrian,Pedestrian,Pedestrian,Others,Others,Others,Grand Total,Grand Total,Grand Total
,,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total
63,KOLKATA,0,80,80,0,95,95,0,2,2,0,26,26,0,0,0,0,0,0,0,10,10,0,51,51,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,267
64,KOLLAM,0,1,1,0,2,2,0,0,0,0,5,5,0,0,0,0,0,0,0,2,2,2,131,133,0,3,3,0,11,11,0,0,0,0,0,0,0,68,68,0,0,0,2,223,225
65,KOTA,2,2,4,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,1,1,2,43,13,56,1,0,1,5,0,5,0,0,0,0,0,0,0,19,19,0,0,0,56,40,96
66,KOZHIKODE,3,14,17,1,21,22,0,1,1,1,14,15,0,0,0,0,0,0,0,6,6,11,63,74,0,1,1,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,16,163,179
67,LUCKNOW,46,72,118,17,10,27,5,4,9,10,32,42,8,8,16,1,9,10,13,10,23,51,31,82,7,9,16,2,2,4,0,0,0,0,0,0,2,1,3,10,0,10,172,188,360
68,LUDHIANA,4,101,105,0,12,12,1,17,18,5,40,45,0,8,8,4,8,12,4,6,10,55,18,73,0,62,62,6,0,6,0,0,0,0,0,0,14,0,14,0,0,0,93,272,365
69,MADURAI,16,0,16,29,0,29,5,0,5,17,0,17,0,0,0,0,0,0,14,0,14,77,0,77,13,0,13,8,0,8,0,0,0,0,0,0,14,0,14,0,0,0,193,0,193
70,MALAPPURAM,1,6,7,0,1,1,0,0,0,4,14,18,0,2,2,0,0,0,4,12,16,13,63,76,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,22,127,149
71,MEERUT,8,39,47,8,22,30,11,24,35,4,15,19,0,0,0,0,1,1,3,8,11,31,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,121,186
72,MUMBAI,16,71,87,5,24,29,1,5,6,23,92,115,0,4,4,0,0,0,13,29,42,69,120,189,0,0,0,3,0,3,0,0,0,0,0,0,0,8,8,0,0,0,130,353,483
73,NAGPUR,0,81,81,0,15,15,0,1,1,0,23,23,0,7,7,0,0,0,0,9,9,0,122,122,0,0,0,0,2,2,0,0,0,0,0,0,0,10,10,0,0,0,0,270,270
74,NASIK,0,0,0,4,0,4,2,0,2,8,0,8,7,0,7,0,0,0,0,0,0,159,0,159,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,189
75,PATNA,0,23,23,0,24,24,1,18,19,1,2,3,0,0,0,0,0,0,6,3,9,54,58,112,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64,128,192
76,PUNE,48,26,74,11,7,18,0,0,0,16,9,25,1,2,3,1,0,1,3,1,4,61,28,89,1,0,1,0,1,1,0,0,0,0,0,0,8,0,8,3,0,3,153,74,227
77,RAIPUR,2,1,3,1,0,1,3,2,5,5,1,6,0,0,0,1,2,3,1,0,1,56,19,75,1,0,1,0,5,5,0,0,0,0,0,0,0,42,42,0,0,0,70,72,142
78,RAJKOT,2,6,8,2,1,3,0,0,0,6,12,18,0,0,0,0,9,9,3,9,12,12,67,79,2,9,11,0,2,2,0,0,0,0,0,0,0,28,28,0,0,0,27,143,170
79,RANCHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233
80,SRINAGAR,0,2,2,0,3,3,0,8,8,0,16,16,0,0,0,0,0,0,0,0,0,4,7,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,45
81,SURAT,1,26,27,0,10,10,0,0,0,0,23,23,0,0,0,0,1,1,0,7,7,30,112,142,0,0,0,0,4,4,0,0,0,0,0,0,0,78,78,0,0,0,31,261,292
82,THIRUVANANTHAPURAM,2,1,3,2,19,21,1,2,3,2,14,16,0,0,0,0,0,0,4,8,12,20,50,70,0,0,0,0,2,2,0,0,0,0,0,0,2,31,33,0,0,0,33,127,160
83,THRISSUR,0,0,0,0,2,2,0,0,0,0,9,9,0,1,1,0,1,1,0,13,13,0,104,104,0,3,3,0,10,10,0,0,0,0,0,0,0,70,70,0,0,0,0,213,213
84,TIRUCHIRAPPALLI,21,0,21,11,4,15,0,4,4,11,0,11,0,0,0,0,0,0,3,0,3,25,9,34,0,0,0,4,0,4,0,0,0,0,0,0,12,0,12,0,0,0,87,17,104
85,VADODARA,1,5,6,0,3,3,0,1,1,1,12,13,0,1,1,0,0,0,4,4,8,14,63,77,0,0,0,0,2,2,0,0,0,0,0,0,0,47,47,0,0,0,20,138,158
86,VARANASI,0,7,7,0,2,2,0,8,8,0,3,3,0,1,1,0,0,0,0,1,1,3,49,52,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,73,76
87,VASAI VIRAR,8,13,21,1,7,8,10,17,27,4,4,8,0,0,0,0,0,0,0,3,3,51,29,80,6,0,6,0,2,2,0,0,0,0,0,0,0,11,11,0,0,0,80,86,166
88,VIJAYAWADA,1,3,4,0,1,1,1,5,6,3,14,17,0,0,0,1,3,4,0,6,6,17,184,201,0,0,0,0,16,16,0,2,2,0,2,2,0,96,96,0,0,0,23,332,355
89,VISHAKHAPATNAM,50,10,60,14,2,16,3,1,4,11,9,20,3,1,4,4,0,4,11,7,18,58,77,135,5,8,13,1,4,5,1,0,1,0,0,0,20,20,40,0,0,0,181,139,320
,TOTAL (CITIES),563,1215,1778,248,577,825,84,327,411,608,1275,1883,29,119,148,22,78,100,213,493,706,2868,3267,6135,109,348,457,129,175,304,2,15,17,0,3,3,210,1580,1790,62,163,225,5147,9635,14782
